회차,일자,번호1,번호2,번호3,번호4,번호5,번호6,보너스,1등 당첨자수,1등 당첨금액,총 판매금액
1회,2002년12월07일,10,23,29,33,37,40,16,0,0원,"3,681,782,000원"
2회,2002년12월14일,9,13,21,25,32,42,2,1,"2,002,006,800원","4,904,274,000원"
3회,2002년12월21일,11,16,19,21,27,31,30,1,"2,000,000,000원","4,729,342,000원"
4회,2002년12월28일,14,27,30,31,40,42,2,0,0원,"5,271,464,000원"
5회,2003년01월04일,16,24,29,40,41,42,3,0,0원,"6,277,102,000원"
6회,2003년01월11일,14,15,26,27,40,42,34,1,"6,574,451,700원","15,305,356,000원"
7회,2003년01월18일,2,9,16,25,26,40,42,0,0원,"12,794,890,000원"
8회,2003년01월25일,8,19,25,34,37,39,9,0,0원,"20,751,450,000원"
9회,2003년02월01일,2,4,16,17,36,39,14,0,0원,"73,624,020,000원"
10회,2003년02월08일,9,25,30,33,41,44,6,13,"6,430,437,900원","260,856,392,000원"
11회,2003년02월15일,1,7,36,37,41,42,14,5,"4,780,152,300원","91,925,306,000원"
12회,2003년02월22일,2,11,21,25,39,45,44,12,"1,348,845,700원","76,255,508,000원"
13회,2003년03월01일,22,23,25,37,38,42,26,0,0원,"66,532,136,000원"
14회,2003년03월08일,2,6,12,31,33,40,15,4,"9,375,048,300원","99,838,648,000원"
15회,2003년03월15일,3,4,16,30,31,37,13,1,"17,014,245,000원","73,264,910,000원"
16회,2003년03월22일,6,7,24,37,38,40,33,4,"4,377,146,100원","75,777,348,000원"
17회,2003년03월29일,3,4,9,17,32,37,1,3,"5,349,491,200원","72,718,152,000원"
18회,2003년04월05일,3,12,13,19,32,35,29,0,0원,"66,371,660,000원"
19회,2003년04월12일,6,30,38,39,40,43,26,1,"40,722,959,400원","105,957,818,000원"
20회,2003년04월19일,10,14,18,20,23,30,41,1,"19,352,212,800원","81,056,776,000원"
21회,2003년04월26일,6,12,17,18,31,32,21,23,"797,475,400원","84,247,142,000원"
22회,2003년05월03일,4,5,6,8,17,39,25,4,"4,552,194,900원","79,455,152,000원"
23회,2003년05월10일,5,13,17,18,33,42,44,4,"4,317,947,700원","77,374,256,000원"
24회,2003년05월17일,7,8,27,29,36,43,6,0,0원,"78,486,634,000원"
25회,2003년05월24일,2,4,21,26,43,44,16,2,"24,227,745,300원","120,073,768,000원"
26회,2003년05월31일,4,5,7,18,20,25,31,5,"3,495,069,900원","80,193,026,000원"
27회,2003년06월07일,1,20,26,28,37,43,27,2,"9,543,982,500원","76,145,050,000원"
28회,2003년06월14일,9,18,23,25,35,37,1,10,"1,700,361,100원","75,448,366,000원"
29회,2003년06월21일,1,5,13,34,39,40,11,5,"3,552,594,000원","74,523,120,000원"
30회,2003년06월28일,8,17,20,35,36,44,4,2,"8,728,555,500원","72,399,690,000원"
31회,2003년07월05일,7,9,18,23,28,35,32,2,"8,106,672,900원","71,317,306,000원"
32회,2003년07월12일,6,14,19,25,34,44,11,10,"1,634,528,300원","71,179,198,000원"
33회,2003년07월19일,4,7,32,33,40,41,9,1,"14,903,517,600원","67,457,252,000원"
34회,2003년07월26일,9,26,35,37,40,42,2,5,"3,056,918,000원","69,389,894,000원"
35회,2003년08월02일,2,3,11,26,37,43,39,3,"5,054,598,200원","66,143,062,000원"
36회,2003년08월09일,1,10,23,26,28,40,31,1,"16,014,475,800원","66,856,686,000원"
37회,2003년08월16일,7,27,30,33,35,37,42,3,"4,985,999,400원","65,509,794,000원"
38회,2003년08월23일,16,17,22,30,37,43,36,3,"5,374,866,400원","67,369,284,000원"
39회,2003년08월30일,6,7,13,15,21,43,8,6,"2,623,748,800원","66,094,476,000원"
40회,2003년09월06일,7,13,18,19,25,26,6,13,"1,147,652,400원","65,699,086,000원"
41회,2003년09월13일,13,20,23,35,38,43,34,0,0원,"57,624,562,000원"
42회,2003년09월20일,17,18,19,21,23,32,1,6,"6,899,280,100원","119,909,740,000원"
43회,2003년09월27일,6,31,35,38,39,44,1,1,"17,749,630,800원","74,686,296,000원"
44회,2003년10월04일,3,11,21,30,38,45,39,5,"3,362,155,800원","69,956,950,000원"
45회,2003년10월11일,1,10,20,27,33,35,17,2,"8,356,417,800원","71,216,232,000원"
46회,2003년10월18일,8,13,15,23,31,38,39,3,"5,327,758,800원","68,181,568,000원"
47회,2003년10월25일,14,17,26,31,36,45,27,5,"3,250,042,400원","67,756,694,000원"
48회,2003년11월01일,6,10,18,26,37,38,3,6,"2,415,673,600원","65,806,832,000원"
49회,2003년11월08일,4,7,16,19,33,40,30,7,"1,967,504,600원","64,501,142,000원"
50회,2003년11월15일,2,10,12,15,22,44,1,3,"5,227,061,400원","65,563,234,000원"
51회,2003년11월22일,2,3,11,16,26,44,35,6,"2,421,117,000원","62,553,680,000원"
52회,2003년11월29일,2,4,15,16,20,29,1,4,"3,900,844,900원","64,393,446,000원"
53회,2003년12월06일,7,8,14,32,33,39,42,3,"5,014,371,000원","64,996,010,000원"
54회,2003년12월13일,1,8,21,27,36,39,37,3,"5,148,626,600원","63,833,006,000원"
55회,2003년12월20일,17,21,31,37,40,44,7,2,"7,088,799,600원","62,195,764,000원"
56회,2003년12월27일,10,14,30,31,33,37,19,4,"3,777,570,900원","65,258,932,000원"
57회,2004년01월03일,7,10,16,25,29,44,6,4,"4,114,411,900원","70,132,666,000원"
58회,2004년01월10일,10,24,25,33,40,44,1,4,"3,676,429,200원","66,638,136,000원"
59회,2004년01월17일,6,29,36,39,41,45,13,4,"4,127,587,300원","67,563,698,000원"
60회,2004년01월24일,2,8,25,36,39,42,11,7,"2,172,504,600원","65,405,936,000원"
61회,2004년01월31일,14,15,19,30,38,43,8,5,"3,541,038,800원","73,312,994,000원"
62회,2004년02월07일,3,8,15,27,29,35,21,1,"15,817,286,400원","66,740,368,000원"
63회,2004년02월14일,3,20,23,36,38,40,5,2,"7,922,245,500원","67,074,050,000원"
64회,2004년02월21일,14,15,18,21,26,36,39,4,"3,899,818,000원","65,085,154,000원"
65회,2004년02월28일,4,25,33,36,40,43,39,4,"3,727,945,800원","66,685,144,000원"
66회,2004년03월06일,2,3,7,17,22,24,45,4,"3,685,138,200원","63,378,796,000원"
67회,2004년03월13일,3,7,10,15,36,38,33,7,"2,114,436,500원","64,314,872,000원"
68회,2004년03월20일,10,12,15,16,26,39,38,5,"2,945,882,100원","63,813,236,000원"
69회,2004년03월27일,5,8,14,15,19,39,35,3,"4,962,712,200원","63,711,302,000원"
70회,2004년04월03일,5,19,22,25,28,43,26,3,"5,031,277,800원","63,232,578,000원"
71회,2004년04월10일,5,9,12,16,29,41,21,0,0원,"62,889,986,000원"
72회,2004년04월17일,2,4,11,17,26,27,1,13,"3,260,524,600원","125,651,214,000원"
73회,2004년04월24일,3,12,18,32,40,43,38,6,"2,766,662,100원","72,635,862,000원"
74회,2004년05월01일,6,15,17,18,35,40,23,3,"5,284,949,800원","68,902,158,000원"
75회,2004년05월08일,2,5,24,32,34,44,28,4,"3,914,616,900원","66,138,372,000원"
76회,2004년05월15일,1,3,15,22,25,37,43,2,"7,451,022,600원","65,083,924,000원"
77회,2004년05월22일,2,18,29,32,43,44,37,3,"5,155,758,600원","64,420,666,000원"
78회,2004년05월29일,10,13,25,29,33,35,38,4,"3,519,850,000원","61,257,794,000원"
79회,2004년06월05일,3,12,24,27,30,32,14,4,"3,416,443,800원","60,390,004,000원"
80회,2004년06월12일,17,18,24,25,26,30,1,1,"13,809,540,000원","60,160,440,000원"
81회,2004년06월19일,5,7,11,13,20,33,6,5,"2,714,288,880원","60,983,308,000원"
82회,2004년06월26일,1,2,3,14,27,42,39,1,"14,562,494,400원","61,302,808,000원"
83회,2004년07월03일,6,10,15,17,19,34,14,2,"7,086,948,300원","62,512,062,000원"
84회,2004년07월10일,16,23,27,34,42,45,11,2,"7,669,779,000원","62,780,760,000원"
85회,2004년07월17일,6,8,13,23,31,36,21,4,"3,462,109,800원","59,451,304,000원"
86회,2004년07월24일,2,12,37,39,41,45,33,1,"14,252,186,400원","59,835,968,000원"
87회,2004년07월31일,4,12,16,23,34,43,26,11,"1,799,358,055원","83,793,642,000원"
88회,2004년08월07일,1,17,20,24,30,41,27,4,"3,069,709,650원","51,910,612,000원"
89회,2004년08월14일,4,26,28,29,33,40,37,3,"4,248,321,900원","55,102,179,000원"
90회,2004년08월21일,17,20,29,35,38,44,10,4,"3,291,435,300원","55,493,544,000원"
91회,2004년08월28일,1,21,24,26,29,42,27,4,"3,582,902,400원","59,061,052,000원"
92회,2004년09월04일,3,14,24,33,35,36,17,11,"1,233,270,846원","58,296,001,000원"
93회,2004년09월11일,6,22,24,36,38,44,19,6,"2,269,178,150원","57,236,313,000원"
94회,2004년09월18일,5,32,34,40,41,45,6,6,"2,245,339,950원","57,144,729,000원"
95회,2004년09월25일,8,17,27,31,34,43,14,8,"1,747,741,238원","60,077,493,000원"
96회,2004년10월02일,1,3,8,21,22,31,20,7,"1,847,133,515원","54,217,572,000원"
97회,2004년10월09일,6,7,14,15,20,36,3,9,"1,496,214,000원","57,713,200,000원"
98회,2004년10월16일,6,9,16,23,24,32,43,4,"3,177,972,300원","56,231,084,000원"
99회,2004년10월23일,1,3,10,27,29,37,11,6,"2,169,219,050원","56,207,491,000원"
100회,2004년10월30일,1,7,11,23,37,42,6,4,"3,315,315,525원","56,561,977,000원"
101회,2004년11월06일,1,3,17,32,35,45,8,5,"2,707,297,500원","57,585,065,000원"
102회,2004년11월13일,17,22,24,26,35,40,42,9,"1,457,153,067원","56,937,962,000원"
103회,2004년11월20일,5,14,15,27,30,45,10,8,"1,691,589,563원","57,420,615,000원"
104회,2004년11월27일,17,32,33,34,42,44,35,2,"6,610,743,750원","56,533,705,000원"
105회,2004년12월04일,8,10,20,34,41,45,28,4,"3,416,781,450원","57,479,716,000원"
106회,2004년12월11일,4,10,12,22,24,33,29,16,"810,461,157원","57,384,485,000원"
107회,2004년12월18일,1,4,5,6,9,31,17,2,"6,679,927,800원","57,545,202,000원"
108회,2004년12월25일,7,18,22,23,29,44,12,7,"1,998,900,772원","58,875,228,000원"
109회,2005년01월01일,1,5,34,36,42,44,33,12,"1,246,838,200원","62,584,098,000원"
110회,2005년01월08일,7,20,22,23,29,43,1,3,"4,566,262,000원","57,625,490,000원"
111회,2005년01월15일,7,18,31,33,36,40,27,6,"2,199,047,450원","57,876,999,000원"
112회,2005년01월22일,26,29,30,33,41,42,43,9,"1,567,271,167원","59,292,005,000원"
113회,2005년01월29일,4,9,28,33,36,45,26,9,"1,561,528,934원","59,258,248,000원"
114회,2005년02월05일,11,14,19,26,28,41,2,6,"2,362,345,050원","60,079,401,000원"
115회,2005년02월12일,1,2,6,9,25,28,31,9,"1,488,589,567원","59,130,557,000원"
116회,2005년02월19일,2,4,25,31,34,37,17,7,"1,997,747,315원","61,606,084,000원"
117회,2005년02월26일,5,10,22,34,36,44,35,9,"1,558,378,334원","59,429,610,000원"
118회,2005년03월05일,3,4,10,17,19,22,38,10,"1,297,989,720원","57,171,934,000원"
119회,2005년03월12일,3,11,13,14,17,21,38,9,"1,474,899,400원","57,800,632,000원"
120회,2005년03월19일,4,6,10,11,32,37,30,3,"4,364,530,300원","57,418,983,000원"
121회,2005년03월26일,12,28,30,34,38,43,9,2,"6,839,648,100원","57,134,544,000원"
122회,2005년04월02일,1,11,16,17,36,40,8,9,"1,450,073,800원","56,171,704,000원"
123회,2005년04월09일,7,17,18,28,30,45,27,5,"2,532,982,680원","54,097,448,000원"
124회,2005년04월16일,4,16,23,25,29,42,1,9,"1,395,936,267원","54,180,838,000원"
125회,2005년04월23일,2,8,32,33,35,36,18,7,"1,754,870,786원","53,149,705,000원"
126회,2005년04월30일,7,20,22,27,40,43,1,9,"1,369,301,500원","52,748,965,000원"
127회,2005년05월07일,3,5,10,29,32,43,35,6,"1,965,939,150원","50,752,603,000원"
128회,2005년05월14일,12,30,34,36,37,45,39,6,"2,064,043,100원","52,310,392,000원"
129회,2005년05월21일,19,23,25,28,38,42,17,11,"1,093,629,655원","51,555,754,000원"
130회,2005년05월28일,7,19,24,27,42,45,31,4,"3,036,496,650원","51,359,012,000원"
131회,2005년06월04일,8,10,11,14,15,21,37,8,"1,451,214,488원","50,231,773,000원"
132회,2005년06월11일,3,17,23,34,41,45,43,4,"2,920,473,525원","49,921,897,000원"
133회,2005년06월18일,4,7,15,18,23,26,13,8,"1,450,242,600원","50,889,926,000원"
134회,2005년06월25일,3,12,20,23,31,35,43,5,"2,349,155,100원","50,445,575,000원"
135회,2005년07월02일,6,14,22,28,35,39,16,7,"1,717,293,515원","51,062,672,000원"
136회,2005년07월09일,2,16,30,36,41,42,11,6,"1,997,694,150원","51,144,633,000원"
137회,2005년07월16일,7,9,20,25,36,39,15,9,"1,270,403,467원","49,978,654,000원"
138회,2005년07월23일,10,11,27,28,37,39,19,5,"2,227,152,000원","47,688,450,000원"
139회,2005년07월30일,9,11,15,20,28,43,13,7,"1,650,210,215원","48,371,085,000원"
140회,2005년08월06일,3,13,17,18,19,28,8,5,"2,109,462,840원","45,983,464,000원"
141회,2005년08월13일,8,12,29,31,42,43,2,6,"1,900,552,400원","48,016,958,000원"
142회,2005년08월20일,12,16,30,34,40,44,19,11,"1,018,265,564원","48,012,844,000원"
143회,2005년08월27일,26,27,28,42,43,45,8,3,"3,954,584,700원","49,415,357,000원"
144회,2005년09월03일,4,15,17,26,36,37,43,8,"1,402,440,413원","49,202,521,000원"
145회,2005년09월10일,2,3,13,20,27,44,9,3,"3,797,838,200원","48,913,832,000원"
146회,2005년09월17일,2,19,27,35,41,42,25,2,"6,043,415,250원","50,677,555,000원"
147회,2005년09월24일,4,6,13,21,40,42,36,7,"1,700,040,215원","50,345,605,000원"
148회,2005년10월01일,21,25,33,34,35,36,17,5,"2,323,596,420원","49,523,247,000원"
149회,2005년10월08일,2,11,21,34,41,42,27,7,"1,639,052,143원","48,406,950,000원"
150회,2005년10월15일,2,18,25,28,37,39,16,4,"2,831,645,850원","48,763,778,000원"
151회,2005년10월22일,1,2,10,13,18,19,15,4,"2,716,634,025원","47,357,067,000원"
152회,2005년10월29일,1,5,13,26,29,34,43,5,"2,278,131,840원","48,180,334,000원"
153회,2005년11월05일,3,8,11,12,13,36,33,4,"2,730,526,125원","47,777,735,000원"
154회,2005년11월12일,6,19,21,35,40,45,20,4,"2,836,628,700원","48,022,386,000원"
155회,2005년11월19일,16,19,20,32,33,41,4,9,"1,193,005,734원","46,140,202,000원"
156회,2005년11월26일,5,18,28,30,42,45,2,8,"1,401,099,900원","47,344,584,000원"
157회,2005년12월03일,19,26,30,33,35,39,37,2,"5,484,903,750원","46,853,365,000원"
158회,2005년12월10일,4,9,13,18,21,34,7,10,"1,069,544,340원","46,368,888,000원"
159회,2005년12월17일,1,18,30,41,42,43,32,6,"1,755,407,300원","44,311,926,000원"
160회,2005년12월24일,3,7,8,34,39,41,1,2,"5,490,805,350원","46,833,239,000원"
161회,2005년12월31일,22,34,36,40,42,45,44,7,"1,996,876,272원","53,096,453,000원"
162회,2006년01월07일,1,5,21,25,38,41,24,5,"2,308,265,760원","49,050,086,000원"
163회,2006년01월14일,7,11,26,28,29,44,16,7,"1,629,726,515원","49,018,952,000원"
164회,2006년01월21일,6,9,10,11,39,41,27,3,"4,054,937,900원","53,052,119,000원"
165회,2006년01월28일,5,13,18,19,22,42,31,2,"6,767,426,700원","58,088,118,000원"
166회,2006년02월04일,9,12,27,36,39,45,14,11,"1,111,299,982원","52,157,466,000원"
167회,2006년02월11일,24,27,28,30,36,39,4,5,"2,491,222,920원","52,744,392,000원"
168회,2006년02월18일,3,10,31,40,42,43,30,5,"2,349,946,920원","51,496,212,000원"
169회,2006년02월25일,16,27,35,37,43,45,19,5,"2,482,888,380원","52,076,183,000원"
170회,2006년03월04일,2,11,13,15,31,42,10,6,"1,923,108,250원","49,718,245,000원"
171회,2006년03월11일,4,16,25,29,34,35,1,6,"1,961,339,700원","50,357,474,000원"
172회,2006년03월18일,4,19,21,24,26,41,35,11,"1,081,154,073원","50,758,266,000원"
173회,2006년03월25일,3,9,24,30,33,34,18,8,"1,487,736,788원","52,286,521,000원"
174회,2006년04월01일,13,14,18,22,35,39,16,7,"1,771,103,058원","52,340,568,000원"
175회,2006년04월08일,19,26,28,31,33,36,17,5,"2,371,132,620원","50,895,147,000원"
176회,2006년04월15일,4,17,30,32,33,34,15,5,"2,314,663,080원","50,488,528,000원"
177회,2006년04월22일,1,10,13,16,37,43,6,7,"1,693,285,500원","50,480,325,000원"
178회,2006년04월29일,1,5,11,12,18,23,9,5,"2,254,621,080원","49,582,758,000원"
179회,2006년05월06일,5,9,17,25,39,43,32,10,"1,081,093,920원","47,291,694,000원"
180회,2006년05월13일,2,15,20,21,29,34,22,2,"5,763,371,550원","48,895,477,000원"
181회,2006년05월20일,14,21,23,32,40,45,44,6,"1,941,763,300원","49,124,446,000원"
182회,2006년05월27일,13,15,27,29,34,40,35,3,"3,721,439,400원","47,222,594,000원"
183회,2006년06월03일,2,18,24,34,40,42,5,6,"1,777,221,500원","45,938,460,000원"
184회,2006년06월10일,1,2,6,16,20,33,41,6,"1,747,753,050원","45,503,351,000원"
185회,2006년06월17일,1,2,4,8,19,38,14,3,"3,522,485,800원","45,783,088,000원"
186회,2006년06월24일,4,10,14,19,21,45,9,9,"1,187,882,600원","45,484,428,000원"
187회,2006년07월01일,1,2,8,18,29,38,42,7,"1,544,733,900원","45,855,961,000원"
188회,2006년07월08일,19,24,27,30,31,34,36,3,"3,501,405,200원","45,176,242,000원"
189회,2006년07월15일,8,14,32,35,37,45,28,3,"3,461,775,100원","43,650,551,000원"
190회,2006년07월22일,8,14,18,30,31,44,15,6,"1,784,159,450원","44,864,459,000원"
191회,2006년07월29일,5,6,24,25,32,37,8,4,"2,577,114,675원","44,534,869,000원"
192회,2006년08월05일,4,8,11,18,37,45,33,4,"2,445,348,375원","42,035,065,000원"
193회,2006년08월12일,6,14,18,26,36,39,13,3,"3,404,449,700원","43,788,477,000원"
194회,2006년08월19일,15,20,23,26,39,44,28,4,"2,650,567,875원","44,511,515,000원"
195회,2006년08월26일,7,10,19,22,35,40,31,11,"918,992,591원","44,374,725,000원"
196회,2006년09월02일,35,36,37,41,44,45,30,15,"727,876,520원","45,773,496,000원"
197회,2006년09월09일,7,12,16,34,42,45,4,6,"1,803,018,300원","45,993,306,000원"
198회,2006년09월16일,12,19,20,25,41,45,2,6,"1,797,855,050원","45,614,021,000원"
199회,2006년09월23일,14,21,22,25,30,36,43,2,"5,344,252,200원","45,021,068,000원"
200회,2006년09월30일,5,6,13,14,17,20,7,8,"1,344,616,613원","46,640,423,000원"
201회,2006년10월07일,3,11,24,38,39,44,26,1,"9,719,465,400원","42,254,768,000원"
202회,2006년10월14일,12,14,27,33,39,44,17,6,"1,893,391,700원","48,304,034,000원"
203회,2006년10월21일,1,3,11,24,30,32,7,5,"2,164,564,740원","47,033,359,000원"
204회,2006년10월28일,3,12,14,35,40,45,5,8,"1,358,347,125원","46,077,750,000원"
205회,2006년11월04일,1,3,21,29,35,37,30,6,"1,835,221,800원","46,330,516,000원"
206회,2006년11월11일,1,2,3,15,20,25,43,5,"2,032,859,340원","44,326,979,000원"
207회,2006년11월18일,3,11,14,31,32,37,38,5,"2,104,673,760원","45,282,336,000원"
208회,2006년11월25일,14,25,31,34,40,44,24,6,"1,760,767,400원","45,516,378,000원"
209회,2006년12월02일,2,7,18,20,24,33,37,6,"1,660,896,350원","43,753,377,000원"
210회,2006년12월09일,10,19,22,23,25,37,39,2,"5,139,085,950원","44,757,963,000원"
211회,2006년12월16일,12,13,17,20,33,41,8,10,"1,035,800,250원","45,332,675,000원"
212회,2006년12월23일,11,12,18,21,31,38,8,4,"2,660,747,250원","46,139,120,000원"
213회,2006년12월30일,2,3,4,5,20,24,42,8,"1,376,678,025원","48,745,094,000원"
214회,2007년01월06일,5,7,20,25,28,37,32,8,"1,406,980,875원","49,195,740,000원"
215회,2007년01월13일,2,3,7,15,43,44,4,7,"1,587,689,615원","47,675,761,000원"
216회,2007년01월20일,7,16,17,33,36,40,1,13,"848,506,108원","48,342,018,000원"
217회,2007년01월27일,16,20,27,33,35,39,38,7,"1,611,246,172원","48,260,644,000원"
218회,2007년02월03일,1,8,14,18,29,44,20,4,"2,779,075,800원","47,018,314,000원"
219회,2007년02월10일,4,11,20,26,35,37,16,9,"1,208,409,167원","46,903,745,000원"
220회,2007년02월17일,5,11,19,21,34,43,31,6,"1,958,094,950원","50,383,399,000원"
221회,2007년02월24일,2,20,33,35,37,40,10,6,"1,800,104,250원","47,674,135,000원"
222회,2007년03월03일,5,7,28,29,39,43,44,5,"2,275,193,820원","47,735,197,000원"
223회,2007년03월10일,1,3,18,20,26,27,38,7,"1,498,170,600원","46,036,874,000원"
224회,2007년03월17일,4,19,26,27,30,42,7,6,"1,808,969,950원","46,435,109,000원"
225회,2007년03월24일,5,11,13,19,31,36,7,6,"1,777,201,800원","46,352,016,000원"
226회,2007년03월31일,2,6,8,14,21,22,34,6,"1,744,100,150원","45,145,643,000원"
227회,2007년04월07일,4,5,15,16,22,42,2,2,"5,253,542,400원","44,444,776,000원"
228회,2007년04월14일,17,25,35,36,39,44,23,9,"1,146,700,334원","44,764,100,000원"
229회,2007년04월21일,4,5,9,11,23,38,35,7,"1,451,441,100원","44,762,989,000원"
230회,2007년04월28일,5,11,14,29,32,33,12,8,"1,292,929,163원","44,191,351,000원"
231회,2007년05월05일,5,10,19,31,44,45,27,9,"1,088,365,900원","42,355,627,000원"
232회,2007년05월12일,8,9,10,12,24,44,35,9,"1,110,918,400원","43,564,632,000원"
233회,2007년05월19일,4,6,13,17,28,40,39,10,"999,153,750원","43,516,805,000원"
234회,2007년05월26일,13,21,22,24,26,37,4,4,"2,519,743,875원","42,814,085,000원"
235회,2007년06월02일,21,22,26,27,31,37,8,3,"3,433,330,100원","43,347,391,000원"
236회,2007년06월09일,1,4,8,13,37,39,7,2,"5,030,040,150원","42,941,871,000원"
237회,2007년06월16일,1,11,17,21,24,44,33,7,"1,440,630,729원","43,358,287,000원"
238회,2007년06월23일,2,4,15,28,31,34,35,9,"1,121,660,567원","42,952,477,000원"
239회,2007년06월30일,11,15,24,39,41,44,7,9,"1,134,140,167원","43,296,565,000원"
240회,2007년07월07일,6,10,16,40,41,43,21,2,"5,098,251,450원","43,603,443,000원"
241회,2007년07월14일,2,16,24,27,28,35,21,4,"2,552,016,300원","43,246,894,000원"
242회,2007년07월21일,4,19,20,21,32,34,43,8,"1,234,542,375원","42,679,760,000원"
243회,2007년07월28일,2,12,17,19,28,42,34,4,"2,408,850,000원","41,304,830,000원"
244회,2007년08월04일,13,16,25,36,37,38,19,1,"9,121,583,100원","39,411,047,000원"
245회,2007년08월11일,9,11,27,31,32,38,22,7,"1,382,583,129원","41,854,623,000원"
246회,2007년08월18일,13,18,21,23,26,39,15,5,"1,911,774,240원","41,453,154,000원"
247회,2007년08월25일,12,15,28,36,39,40,13,6,"1,669,313,900원","42,231,698,000원"
248회,2007년09월01일,3,8,17,23,38,45,13,8,"1,227,479,363원","42,348,403,000원"
249회,2007년09월08일,3,8,27,31,41,44,11,6,"1,663,568,700원","42,539,134,000원"
250회,2007년09월15일,19,23,30,37,43,45,38,5,"1,994,726,280원","42,122,808,000원"
251회,2007년09월22일,6,7,19,25,28,38,45,8,"1,282,616,400원","44,493,014,000원"
252회,2007년09월29일,14,23,26,31,39,45,28,7,"1,391,089,715원","41,207,920,000원"
253회,2007년10월06일,8,19,25,31,34,36,33,4,"2,466,189,525원","42,309,347,000원"
254회,2007년10월13일,1,5,19,20,24,30,27,1,"9,741,015,900원","42,259,113,000원"
255회,2007년10월20일,1,5,6,24,27,42,32,6,"1,598,618,550원","41,425,341,000원"
256회,2007년10월27일,4,11,14,21,23,43,32,2,"4,891,017,000원","41,996,580,000원"
257회,2007년11월03일,6,13,27,31,32,37,4,4,"2,391,377,025원","41,433,637,000원"
258회,2007년11월10일,14,27,30,31,38,40,17,4,"2,426,434,350원","41,364,428,000원"
259회,2007년11월17일,4,5,14,35,42,45,34,2,"4,838,533,500원","40,905,570,000원"
260회,2007년11월24일,7,12,15,24,37,40,43,4,"2,310,085,575원","40,140,211,000원"
261회,2007년12월01일,6,11,16,18,31,43,2,3,"3,192,299,100원","41,215,041,000원"
262회,2007년12월08일,9,12,24,25,29,31,36,2,"4,518,741,600원","39,232,234,000원"
263회,2007년12월15일,1,27,28,32,37,40,18,6,"1,551,704,900원","39,677,128,000원"
264회,2007년12월22일,9,16,27,36,41,44,5,7,"1,344,889,200원","39,783,178,000원"
265회,2007년12월29일,5,9,34,37,38,39,12,8,"1,200,838,575원","40,913,922,000원"
266회,2008년01월05일,3,4,9,11,22,42,37,3,"3,207,211,700원","41,937,067,000원"
